number,final record date
50136,2024-09-19 19:00:00+08:00
50137,2024-09-19 19:00:00+08:00
50246,2024-09-19 19:00:00+08:00
50247,2024-09-19 19:00:00+08:00
50349,2024-09-19 19:00:00+08:00
50353,2024-09-19 19:00:00+08:00
50425,2024-09-19 15:00:00+08:00
50431,2024-09-19 15:00:00+08:00
50434,2024-09-19 15:00:00+08:00
50442,2024-09-19 19:00:00+08:00
50445,2024-09-19 15:00:00+08:00
50468,2024-09-19 19:00:00+08:00
50514,2024-09-19 15:00:00+08:00
50524,2024-09-19 15:00:00+08:00
50525,2024-09-19 15:00:00+08:00
50526,2024-09-19 15:00:00+08:00
50527,2024-09-19 15:00:00+08:00
50548,2024-09-19 15:00:00+08:00
50557,2024-09-19 19:00:00+08:00
50564,2024-09-19 19:00:00+08:00
50566,2024-09-19 19:00:00+08:00
50603,2024-09-19 15:00:00+08:00
50618,2024-09-19 15:00:00+08:00
50632,2024-09-19 15:00:00+08:00
50639,2024-09-19 15:00:00+08:00
50645,2024-09-19 15:00:00+08:00
50646,2024-09-19 19:00:00+08:00
50647,2024-09-19 15:00:00+08:00
50655,2024-09-19 19:00:00+08:00
50656,2024-09-19 19:00:00+08:00
50658,2024-09-19 19:00:00+08:00
50659,2024-09-19 19:00:00+08:00
50673,2024-09-19 19:00:00+08:00
50674,2024-09-19 19:00:00+08:00
50727,2024-09-19 15:00:00+08:00
50739,2024-09-19 19:00:00+08:00
50741,2024-09-19 19:00:00+08:00
50742,2024-09-19 19:00:00+08:00
50745,2024-09-19 19:00:00+08:00
50749,2024-09-19 19:00:00+08:00
50750,2024-09-19 19:00:00+08:00
50755,2024-09-19 19:00:00+08:00
50756,2024-09-19 19:00:00+08:00
50758,2024-09-19 19:00:00+08:00
50767,2024-09-19 19:00:00+08:00
50772,2024-09-19 19:00:00+08:00
50774,2024-09-19 19:00:00+08:00
50775,2024-09-19 19:00:00+08:00
50776,2024-09-19 19:00:00+08:00
50778,2024-09-19 19:00:00+08:00
50779,2024-09-19 19:00:00+08:00
50787,2024-09-19 19:00:00+08:00
50788,2024-09-19 19:00:00+08:00
50832,2024-09-19 15:00:00+08:00
50833,2024-09-19 15:00:00+08:00
50834,2024-09-19 15:00:00+08:00
50838,2024-09-19 15:00:00+08:00
50842,2024-09-19 19:00:00+08:00
50844,2024-09-19 19:00:00+08:00
50850,2024-09-19 19:00:00+08:00
50851,2024-09-19 19:00:00+08:00
50852,2024-09-19 19:00:00+08:00
50853,2024-09-19 19:00:00+08:00
50854,2024-09-19 19:00:00+08:00
50858,2024-09-19 19:00:00+08:00
50859,2024-09-19 19:00:00+08:00
50861,2024-09-19 19:00:00+08:00
50862,2024-09-19 19:00:00+08:00
50867,2024-09-19 19:00:00+08:00
50871,2024-09-19 19:00:00+08:00
50873,2024-09-19 19:00:00+08:00
50877,2024-09-19 19:00:00+08:00
50878,2024-09-19 19:00:00+08:00
50879,2024-09-19 19:00:00+08:00
50880,2024-09-19 19:00:00+08:00
50881,2024-09-19 19:00:00+08:00
50884,2024-09-19 19:00:00+08:00
50888,2024-09-19 19:00:00+08:00
50892,2024-09-19 19:00:00+08:00
50913,2024-09-19 15:00:00+08:00
50915,2024-09-19 15:00:00+08:00
50924,2024-09-19 15:00:00+08:00
50928,2024-09-19 15:00:00+08:00
50934,2024-09-19 15:00:00+08:00
50936,2024-09-19 15:00:00+08:00
50937,2024-09-19 15:00:00+08:00
50939,2024-09-19 15:00:00+08:00
